series,hour_num,value
T104,188,1878.0
T104,189,1936.0
T104,190,1965.0
T104,191,1915.0
T104,192,1913.0
T104,193,1945.0
T104,194,1976.0
T104,195,1859.0
T104,196,1830.0
T104,197,1875.0
T104,198,1779.0
T104,199,1581.0
T104,200,1379.0
T104,201,1311.0
T104,202,1192.0
T104,203,1162.0
T104,204,1155.0
T104,205,1178.0
T104,206,1098.0
T104,207,1144.0
T104,208,1203.0
T104,209,1396.0
T104,210,1414.0
T104,211,1579.0
T104,212,1596.0
T104,213,1616.0
T104,214,1664.0
T104,215,1703.0
T104,216,1672.0
T104,217,1696.0
T104,218,1671.0
T104,219,1638.0
T104,220,1690.0
T104,221,1586.0
T104,222,1489.0
T104,223,1386.0
T104,224,1294.0
T104,225,1191.0
T104,226,1113.0
T104,227,1136.0
T104,228,1146.0
T104,229,1155.0
T104,230,1170.0
T104,231,1161.0
T104,232,1161.0
T104,233,1277.0
T104,234,1453.0
T104,235,1739.0
T104,236,1760.0
T104,237,1723.0
T104,238,1809.0
T104,239,1863.0
T104,240,1815.0
T104,241,1737.0
T104,242,1634.0
T104,243,1425.0
T104,244,1437.0
T104,245,1466.0
T104,246,1377.0
T104,247,1303.0
T104,248,1192.0
T104,249,1104.0
T104,250,1050.0
T104,251,1064.0
T104,252,1002.0
T104,253,1001.0
T104,254,993.0
T104,255,979.0
T104,256,1090.0
T104,257,1281.0
T104,258,1405.0
T104,259,1622.0
T104,260,1687.0
T104,261,1723.0
T104,262,1756.0
T104,263,1710.0
T104,264,1642.0
T104,265,1618.0
T104,266,1635.0
T104,267,1620.0
T104,268,1447.0
T104,269,1652.0
T104,270,1596.0
T104,271,1534.0
T104,272,1423.0
T104,273,1265.0
T104,274,1051.0
T104,275,1080.0
T104,276,1073.0
T104,277,1066.0
T104,278,1124.0
T104,279,1163.0
T104,280,1192.0
T104,281,1392.0
T104,282,1592.0
T104,283,1848.0
T104,284,1952.0
T104,285,1979.0
T104,286,1963.0
T104,287,1866.0
T104,288,1821.0
T104,289,1681.0
T104,290,1617.0
T104,291,1530.0
T104,292,1509.0
T104,293,1562.0
T104,294,1520.0
T104,295,1429.0
T104,296,1299.0
T104,297,1151.0
T104,298,947.0
T104,299,930.0
T104,300,973.0
T104,301,984.0
T104,302,1050.0
T104,303,1093.0
T104,304,1208.0
T104,305,1329.0
T104,306,1556.0
T104,307,1723.0
T104,308,1811.0
T104,309,1850.0
T104,310,1990.0
T104,311,2100.0
T104,312,2091.0
T104,313,2068.0
T104,314,1978.0
T104,315,1857.0
T104,316,1842.0
T104,317,1795.0
T104,318,1630.0
T104,319,1577.0
T104,320,1456.0
T104,321,1124.0
T104,322,1116.0
T104,323,975.0
T104,324,923.0
T104,325,969.0
T104,326,1029.0
T104,327,1138.0
T104,328,1232.0
T104,329,1322.0
T104,330,1495.0
T104,331,1659.0
T104,332,1802.0
T104,333,1934.0
T104,334,1978.0
T104,335,1979.0
T104,336,2072.0
T104,337,1984.0
T104,338,1816.0
T104,339,1658.0
T104,340,1704.0
T104,341,1725.0
T104,342,1628.0
T104,343,1505.0
T104,344,1409.0
T104,345,1326.0
T104,346,1240.0
T104,347,1256.0
T104,348,1249.0
T104,349,1237.0
T104,350,1246.0
T104,351,1218.0
T104,352,1249.0
T104,353,1397.0
T104,354,1531.0
T104,355,1685.0
T104,356,1769.0
T104,357,1891.0
T104,358,2005.0
